obra,productora,anio_inicio,anio_fin,teatro,gira,activa,duracion
"101 Dálmatas, el musical",Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2023,,Gran Teatro CaixaBank Príncipe Pío,No,Sí,90.0
Aladdín,Stage Entertainment,2023,2025.0,Teatro Coliseum,No,No,145.0
Anastasia,Stage Entertainment,2018,2020.0,Teatro Coliseum,No,No,95.0
Annie,Theatre Properties,2010,2011.0,Nuevo Alcalá,No,No,120.0
Avenue Q,SMedia,2010,2011.0,Nuevo Apolo,No,No,135.0
Avenue Q,Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2024,,Gran Teatro CaixaBank Príncipe Pío,No,Sí,135.0
Billy Elliot,SOM Produce,2017,2020.0,Nuevo Teatro Alcalá,Sí,No,150.0
Cabaret,Let's Go Company,2025,,Albéniz,No,Sí,150.0
Cantando bajo la lluvia,Nostromo live,2021,2023.0,Tívoli,Sí,No,150.0
Cenicienta,Stage Entertainment,2025,,Coliseum,No,Sí,145.0
Charlie y la fábrica de chocolate,Let's Go Company,2021,2022.0,Espacio Ibercaja Delicias,Sí,No,150.0
Chicago,SOM Produce,2023,2025.0,Teatro Apolo,Sí,No,140.0
Come from away,The Stage Company,2024,2025.0,Marquina,No,No,100.0
Company,Teatro del Soho S.L.,2021,2023.0,Del Soho,No,No,170.0
Dirty Dancing,Let's Go Company,2018,2023.0,Teatro Nuevo Alcalá,Sí,No,145.0
El Día de la Marmota,Nostromo Live,2024,2025.0,Teatro Coliseum (BCN),No,No,150.0
El Fantasma de la Ópera,Let's Go Company,2023,,UMusic Hotel Teatro Albéniz,Sí,Sí,150.0
El Guardaespaldas,Stage Entertainment,2017,2018.0,Teatro Coliseum,Sí,No,150.0
El Jovencito Frankenstein,Let's Go Company,2018,2019.0,Teatro Gran Vía,No,No,135.0
El Médico,Beon Entertainment,2018,2023.0,Teatro Nuevo Apolo,Sí,No,180.0
El Rey León,Stage Entertainment,2011,,Teatro Lope de Vega,No,Sí,165.0
El Tiempo entre Costuras,Beon Entertainment,2021,2024.0,Teatro Principal de Zaragoza,Sí,No,150.0
El ascensor,Actor’s First.,2017,2018.0,Pavón,Sí,No,70.0
El día de la marmota,Nostromo live,2024,2025.0,Coliseum,No,No,150.0
El último jinete,Arabian Horses Production LTD,2012,2013.0,Teatros del Canal,No,No,130.0
En tierra extraña,ATG Entertainment,2021,2023.0,Español,Sí,No,100.0
Flashdance,Selladoor Worldwide,2019,2020.0,Tívoli,Sí,No,150.0
Follies,Mario Gas,2012,2013.0,Español,No,No,160.0
Forever Young,Tricicle,2011,2022.0,Edp Gran Via,Sí,No,100.0
"Ghost, el musical",Let's Go Company,2019,2024.0,Teatro EDP Gran Vía,Sí,No,135.0
Golfus de Roma,Euroscena,2015,2015.0,Veranos de la Villa,No,No,93.0
Golfus de Roma,Pentación Espectáculos,2022,2023.0,La latina,Sí,No,93.0
Grease,Drive Entertainment,2011,2014.0,Las Arenas,Sí,No,150.0
Grease,SOM Produce,2021,2023.0,Nuevo Teatro Alcalá,Sí,No,150.0
Gypsy,Teatro del Soho S.L.,2024,2025.0,Del Soho,No,No,180.0
Hair,The William Morris Agency Endeavor Entertainment; Illuminati Production Group; Publintermedia Consulting; JK Productions,2010,2011.0,Apolo,No,No,150.0
Houdini,Let's Go Company,2025,,Teatro Calderón,No,Sí,95.0
Kinky Boots,Let's Go Company,2021,2022.0,Espacio Delicias / Teatro Calderón,No,No,130.0
Kinky Boots,Theatre Properties,2024,2025.0,Teatro Rialto,Sí,No,130.0
La Alegría que Pasa,Dagoll Dagom,2022,2023.0,Teatre Poliorama,Sí,No,90.0
La Familia Addams,Let's Go Company,2017,2018.0,Teatro Calderón,Sí,No,140.0
La Historia Interminable,Beon Entertainment,2022,2024.0,Teatro Calderón,Sí,No,160.0
La Jaula de las Locas,Nostromo Live,2018,2020.0,Teatro Tívoli,Sí,No,120.0
La Llamada,Suma Latina / Los Javis,2013,,Teatro Lara,Sí,Sí,95.0
La bella y la bestia,Stage Entertainment,2012,2013.0,Calderón,Sí,No,160.0
La llamada,Los javies,2013,2024.0,Lara,Sí,No,95.0
"La movida,el musical",Theatre Properties,2024,2025.0,Coliseum,Sí,No,130.0
Los Miserables,SOM Produce,2025,,Teatro Apolo (prev.),No,Sí,170.0
Los Pilares de la Tierra,Beon Entertainment,2024,,Teatro EDP Gran Vía,Sí,Sí,175.0
Los Productores,Nostromo Live,2023,2024.0,Teatro Tívoli,Sí,No,150.0
Los miserables,Stage Entertainment,2010,2012.0,Lope de Vega,Sí,No,170.0
Los puentes de Madison,SMedia,2022,2023.0,Edp Gran Via,No,No,120.0
Malinche,Hatchwell Inversiones Musicales S.L.,2022,2025.0,Ifema Madrid Live,Sí,No,175.0
Mamma Mia!,SOM Produce,2022,,Teatro Rialto,Sí,Sí,140.0
Mari i Cel,Dagoll Dagom,2024,2025.0,Teatre Victòria,Sí,No,155.0
Marta tiene un marcapasos,Smedia,2013,2014.0,Edp Gran Via,Sí,No,160.0
Mas de 100 mentiras,Drive Entertainment,2011,2013.0,Rialto,Sí,No,170.0
Matilda,SOM Produce,2022,2024.0,Nuevo Teatro Alcalá,No,No,120.0
My fair lady,Stage Entertainment,2012,2012.0,Adán Martín,Sí,No,165.0
Pegados,Ferran González & Alícia Serrat,2010,2013.0,Almería Teatre,Sí,No,80.0
"Priscilla, reina del desierto",SOM Produce,2014,2015.0,Nuevo Teatro Alcalá,Sí,No,150.0
Quien mató a Sherlock Holmes?,Beon Entertainment,2020,2021.0,Edp Gran Via,No,No,105.0
"Romeo y Julieta, el musical",Theatre Properties,2021,2024.0,La Latina,Sí,No,140.0
School of Rock,Let's Go Company,2024,2024.0,Espacio Delicias,No,No,170.0
Sister Act,Stage Entertainment,2014,2016.0,Tívoli,Sí,No,150.0
Sister Act,Stage Entertainment,2015,2015.0,Teatro Nuevo Alcalá,Sí,No,150.0
Sonrisas y lágrimas,ATG Entertainment,2011,2013.0,Coliseum,Sí,No,150.0
The Book of Mormon,SOM Produce,2023,,Teatro Calderón / Rialto,No,Sí,135.0
