año,territorio,tipo_territorio,representaciones,espectadores_miles,recaudacion_miles,espectadores_por_representacion,gasto_medio
2023,Total,Municipio,41819.0,8287.0,138802.0,198.0,16.8
2024,Total,Municipio,44609.0,9143.0,156547.0,205.0,17.1
2023,Menos de 5.000 hab.,Municipio,2969.0,361.0,79.0,121.0,0.2
2024,Menos de 5.000 hab.,Municipio,3123.0,384.0,20.0,123.0,0.1
2023,5.001-10.000 hab.,Municipio,2174.0,231.0,215.0,106.0,
2024,5.001-10.000 hab.,Municipio,2275.0,247.0,157.0,109.0,
2023,10.001-30.000 hab.,Municipio,4015.0,599.0,2848.0,149.0,4.8
2024,10.001-30.000 hab.,Municipio,4282.0,649.0,3131.0,152.0,4.8
2023,30.001-200.000 hab.,Municipio,6524.0,1735.0,13890.0,208.0,10.2
2024,30.001-200.000 hab.,Municipio,7004.0,1811.0,15811.0,215.0,10.5
2023,Zonas metropolitanas,Municipio,26137.0,5739.0,121771.0,220.0,21.2
2024,Zonas metropolitanas,Municipio,27925.0,6355.0,137428.0,228.0,21.6
2023,Total,CCAA,41819.0,8287.0,138802.0,198.0,16.8
2024,Total,CCAA,44609.0,9143.0,156547.0,205.0,17.1
2023,Andalucía,CCAA,2820.0,445.0,9359.0,158.0,16.8
2024,Andalucía,CCAA,3008.0,489.0,9358.0,162.0,17.1
2023,Aragón,CCAA,2101.0,319.0,2135.0,152.0,6.9
2024,Aragón,CCAA,2242.0,350.0,2458.0,156.0,19.2
2023,Asturias,CCAA,694.0,118.0,1154.0,171.0,13.6
2024,Asturias,CCAA,802.0,148.0,1413.0,184.0,18.7
2023,Baleares,CCAA,591.0,62.0,547.0,106.0,14.4
2024,Baleares,CCAA,645.0,66.0,596.0,102.0,14.5
2023,Canarias,CCAA,457.0,96.0,1254.0,211.0,13.2
2024,Canarias,CCAA,691.0,107.0,1556.0,156.0,14.7
2023,Cantabria,CCAA,214.0,22.0,274.0,103.0,12.4
2024,Cantabria,CCAA,259.0,25.0,306.0,100.0,12.5
2023,Castilla y León,CCAA,1845.0,252.0,2210.0,142.0,8.5
2024,Castilla y León,CCAA,1935.0,286.0,2378.0,144.0,8.7
2023,Castilla-La Mancha,CCAA,819.0,102.0,1378.0,153.0,11.1
2024,Castilla-La Mancha,CCAA,901.0,154.0,1531.0,153.0,11.4
2023,Cataluña,CCAA,9030.0,1402.0,21968.0,155.0,20.0
2024,Cataluña,CCAA,9633.0,1568.0,31742.0,162.0,20.3
2023,Comunitat Valenciana,CCAA,3392.0,760.0,7081.0,276.0,9.6
2024,Comunitat Valenciana,CCAA,3406.0,862.0,8104.0,294.0,9.9
2023,Extremadura,CCAA,380.0,73.0,481.0,191.0,6.6
2024,Extremadura,CCAA,406.0,78.0,534.0,193.0,6.8
2023,Galicia,CCAA,1158.0,155.0,24515.0,178.0,
2024,Galicia,CCAA,1099.0,173.0,,,
2023,Madrid,CCAA,14170.0,3358.0,10815.0,237.0,21.1
2024,Madrid,CCAA,15765.0,3707.0,79960.0,244.0,21.6
2023,Murcia,CCAA,666.0,97.0,1508.0,151.0,12.4
2024,Murcia,CCAA,710.0,111.0,1687.0,151.0,13.0
2023,Navarra,CCAA,225.0,37.0,1081.0,131.0,12.4
2024,Navarra,CCAA,227.0,93.0,1208.0,131.0,13.0
2023,País Vasco,CCAA,665.0,159.0,6514.0,247.0,12.2
2024,País Vasco,CCAA,717.0,169.0,7352.0,247.0,12.3
2023,La Rioja,CCAA,248.0,22.0,474.0,253.0,7.5
2024,La Rioja,CCAA,265.0,23.0,525.0,259.0,7.6
2023,Ceuta y Melilla,CCAA,39.0,13.0,,317.0,10.3
2024,Ceuta y Melilla,CCAA,,,,313.0,10.0
